# caida-chi15-opp-dim
# quelen-Q-W=100-1-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              0.0                              0.0                              0.0                              0.0                              
3.0                              0.0                              0.0                              0.0                              0.0                              
4.0                              0.0                              0.0                              0.0                              0.0                              
5.0                              0.0                              0.0                              0.0                              0.0                              
6.0                              0.0                              0.0                              0.0                              0.0                              
7.0                              0.0                              0.0                              0.0                              0.0                              
8.0                              0.0                              0.0                              0.0                              0.0                              
9.0                              0.0005824                        0.0                              0.0                              0.0                              
10.0                             0.0069438                        0.0                              0.0                              0.0                              
11.0                             0.0313116                        0.0                              0.0                              0.0                              
12.0                             0.1115734                        0.0                              0.0                              0.0                              
13.0                             0.1797319                        0.0                              0.0                              0.0                              
14.0                             0.238239                         0.0                              0.0                              0.0                              
15.0                             0.2889563                        0.0                              0.0                              0.0                              
16.0                             0.3333357                        0.0                              0.0                              0.0                              
17.0                             0.3724887                        0.0                              0.0                              0.0                              
18.0                             0.4072905                        0.0                              0.0                              0.0                              
19.0                             0.4384326                        0.0                              0.0                              0.0                              
20.0                             0.4664613                        0.0                              0.0                              0.0                              
21.0                             0.4918181                        0.0                              0.0                              0.0                              
22.0                             0.514873                         0.0                              0.0                              0.0                              
23.0                             0.5359249                        0.0                              0.0                              0.0                              
24.0                             0.5552138                        0.0                              1.62e-05                         9e-05                            
25.0                             0.5729723                        5.81e-05                         0.0001562                        0.0002343                        
26.0                             0.5893567                        0.0001643                        0.0002881                        0.0004015                        
27.0                             0.604527                         0.0002886                        0.0004691                        0.0006186                        
28.0                             0.6186158                        0.0005405                        0.0005677                        0.0013724                        
29.0                             0.6317305                        0.0008348                        0.0010324                        0.00232                          
30.0                             0.6439763                        0.0017729                        0.0020487                        0.0047232                        
