# caida-sj12-opp
# Q-W=8-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99921                          0.99996                          0.99958                          0.99959                          0.99996                          
3.0                              0.99235                          0.99994                          0.99802                          0.99824                          0.99995                          
4.0                              0.75776                          0.99992                          0.99469                          0.99549                          0.99992                          
5.0                              0.60621                          0.9999                           0.86504                          0.8761                           0.99991                          
6.0                              0.50518                          0.99989                          0.76251                          0.77489                          0.9999                           
7.0                              0.43301                          0.99989                          0.68946                          0.70288                          0.99989                          
8.0                              0.37888                          0.99988                          0.63587                          0.65042                          0.99989                          
9.0                              0.33679                          0.99987                          0.59141                          0.60583                          0.99989                          
10.0                             0.30311                          0.99983                          0.55699                          0.57216                          0.99978                          
11.0                             0.27555                          0.99972                          0.52896                          0.54437                          0.99966                          
12.0                             0.25259                          0.99964                          0.5054                           0.52126                          0.99959                          
13.0                             0.23316                          0.99958                          0.48567                          0.50172                          0.99953                          
14.0                             0.21651                          0.99953                          0.46876                          0.48481                          0.99948                          
15.0                             0.20207                          0.99949                          0.4539                           0.47018                          0.99944                          
16.0                             0.18944                          0.99946                          0.44154                          0.45785                          0.99941                          
17.0                             0.1783                           0.99942                          0.42975                          0.44624                          0.99937                          
18.0                             0.1684                           0.99939                          0.41971                          0.43628                          0.99934                          
19.0                             0.15953                          0.99932                          0.41066                          0.42738                          0.99931                          
20.0                             0.15156                          0.99926                          0.40231                          0.41925                          0.99922                          
21.0                             0.14434                          0.99924                          0.39477                          0.41194                          0.99907                          
22.0                             0.13778                          0.99917                          0.38797                          0.40539                          0.99881                          
23.0                             0.13179                          0.99902                          0.38175                          0.39934                          0.99858                          
24.0                             0.1263                           0.99886                          0.37613                          0.39365                          0.99834                          
25.0                             0.12125                          0.99862                          0.37078                          0.38793                          0.99811                          
26.0                             0.11658                          0.99836                          0.36607                          0.38276                          0.99793                          
27.0                             0.11227                          0.99794                          0.36168                          0.37801                          0.99766                          
28.0                             0.10826                          0.99756                          0.35765                          0.37368                          0.99676                          
29.0                             0.10452                          0.99728                          0.35378                          0.36961                          0.99574                          
30.0                             0.10104                          0.99696                          0.35026                          0.36587                          0.99415                          
