# caida-sj12-opp
# Q-W=4-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99921                          0.99996                          0.9996                           0.99957                          
3.0                              0.99235                          0.99994                          0.99797                          0.99817                          
4.0                              0.75776                          0.99992                          0.99504                          0.99569                          
5.0                              0.60621                          0.9999                           0.86084                          0.87047                          
6.0                              0.50518                          0.99989                          0.75458                          0.76461                          
7.0                              0.43301                          0.99987                          0.67895                          0.68837                          
8.0                              0.37888                          0.99982                          0.62332                          0.63333                          
9.0                              0.33679                          0.99976                          0.577                            0.58719                          
10.0                             0.30311                          0.99956                          0.54127                          0.55199                          
11.0                             0.27555                          0.99941                          0.51208                          0.52301                          
12.0                             0.25259                          0.99927                          0.4887                           0.49907                          
13.0                             0.23316                          0.99921                          0.46796                          0.47757                          
14.0                             0.21651                          0.99916                          0.45072                          0.46008                          
15.0                             0.20207                          0.99911                          0.43525                          0.44489                          
16.0                             0.18944                          0.99908                          0.42237                          0.43176                          
17.0                             0.1783                           0.99904                          0.41032                          0.41971                          
18.0                             0.1684                           0.9986                           0.39989                          0.40914                          
19.0                             0.15953                          0.9981                           0.39048                          0.39969                          
20.0                             0.15156                          0.99762                          0.38203                          0.39093                          
21.0                             0.14434                          0.99725                          0.37401                          0.38304                          
22.0                             0.13778                          0.99684                          0.36717                          0.3762                           
23.0                             0.13179                          0.99642                          0.36072                          0.36992                          
24.0                             0.1263                           0.99439                          0.35479                          0.36428                          
25.0                             0.12125                          0.99183                          0.3493                           0.3586                           
26.0                             0.11658                          0.978                            0.34446                          0.35363                          
27.0                             0.11227                          0.94504                          0.33992                          0.34908                          
28.0                             0.10826                          0.91156                          0.33578                          0.34485                          
29.0                             0.10452                          0.88077                          0.33172                          0.34077                          
30.0                             0.10104                          0.85277                          0.32812                          0.33719                          
