# mawi15-opp
# Q-W=1-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99993                          0.99994                          0.99994                          0.99994                          
3.0                              0.99982                          0.99991                          0.99991                          0.99991                          
4.0                              0.99963                          0.99988                          0.99986                          0.99987                          
5.0                              0.99894                          0.99979                          0.99978                          0.99977                          
6.0                              0.87236                          0.99952                          0.99947                          0.99916                          
7.0                              0.74774                          0.99891                          0.99885                          0.99857                          
8.0                              0.65428                          0.9983                           0.99828                          0.96224                          
9.0                              0.58159                          0.99791                          0.99787                          0.85978                          
10.0                             0.52344                          0.9976                           0.99757                          0.77866                          
11.0                             0.47586                          0.99721                          0.96793                          0.70956                          
12.0                             0.43621                          0.98683                          0.89271                          0.65045                          
13.0                             0.40266                          0.91922                          0.82906                          0.60132                          
14.0                             0.3739                           0.85656                          0.77371                          0.55933                          
15.0                             0.34898                          0.80384                          0.7215                           0.52313                          
16.0                             0.32717                          0.7552                           0.67889                          0.49189                          
17.0                             0.30793                          0.71231                          0.6389                           0.46397                          
18.0                             0.29082                          0.67585                          0.60464                          0.4386                           
19.0                             0.27552                          0.64083                          0.57411                          0.41579                          
20.0                             0.26174                          0.61054                          0.54839                          0.3954                           
21.0                             0.24928                          0.58363                          0.52437                          0.37637                          
22.0                             0.23795                          0.55923                          0.50289                          0.3597                           
23.0                             0.2276                           0.53572                          0.48295                          0.34445                          
24.0                             0.21812                          0.51513                          0.46488                          0.32952                          
25.0                             0.2094                           0.49553                          0.4473                           0.31641                          
26.0                             0.20134                          0.47831                          0.43069                          0.30413                          
27.0                             0.19389                          0.46125                          0.41437                          0.29246                          
28.0                             0.18696                          0.44505                          0.39945                          0.28193                          
29.0                             0.18051                          0.42999                          0.38562                          0.27216                          
30.0                             0.1745                           0.41541                          0.37377                          0.26338                          
