# mawi15-opp
# Q-W=8-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99993                          0.99996                          0.99997                          0.99996                          0.99996                          
3.0                              0.99982                          0.99995                          0.99996                          0.99994                          0.99995                          
4.0                              0.99963                          0.99994                          0.99995                          0.99992                          0.99994                          
5.0                              0.99894                          0.99993                          0.99994                          0.99991                          0.99993                          
6.0                              0.87236                          0.99992                          0.99993                          0.99985                          0.99993                          
7.0                              0.74774                          0.99991                          0.9999                           0.99972                          0.99992                          
8.0                              0.65428                          0.9999                           0.99987                          0.99956                          0.99991                          
9.0                              0.58159                          0.9999                           0.99977                          0.99936                          0.99991                          
10.0                             0.52344                          0.99978                          0.99953                          0.99316                          0.99991                          
11.0                             0.47586                          0.99957                          0.99932                          0.94546                          0.99978                          
12.0                             0.43621                          0.99935                          0.99912                          0.90594                          0.99956                          
13.0                             0.40266                          0.99918                          0.99896                          0.87225                          0.99939                          
14.0                             0.3739                           0.99903                          0.99881                          0.84314                          0.99924                          
15.0                             0.34898                          0.99889                          0.99865                          0.81753                          0.99909                          
16.0                             0.32717                          0.99879                          0.99853                          0.79555                          0.99899                          
17.0                             0.30793                          0.99866                          0.99843                          0.77575                          0.99889                          
18.0                             0.29082                          0.99856                          0.99832                          0.75836                          0.99878                          
19.0                             0.27552                          0.99848                          0.99824                          0.74149                          0.99868                          
20.0                             0.26174                          0.99841                          0.99817                          0.72275                          0.99863                          
21.0                             0.24928                          0.99834                          0.99808                          0.70192                          0.99855                          
22.0                             0.23795                          0.99826                          0.998                            0.68102                          0.9985                           
23.0                             0.2276                           0.99817                          0.99792                          0.66179                          0.99843                          
24.0                             0.21812                          0.99807                          0.99783                          0.64315                          0.99841                          
25.0                             0.2094                           0.99798                          0.99778                          0.62579                          0.99837                          
26.0                             0.20134                          0.9979                           0.99771                          0.60977                          0.99831                          
27.0                             0.19389                          0.99784                          0.99768                          0.5947                           0.99826                          
28.0                             0.18696                          0.99777                          0.99766                          0.58074                          0.9982                           
29.0                             0.18051                          0.99772                          0.99771                          0.56772                          0.99551                          
30.0                             0.1745                           0.99766                          0.99668                          0.55553                          0.99149                          
