# mawi15-opp-dim
# quelen-Q-W=10-8-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              0.037073                         0.0021622                        0.0024798                        0.006135                         0.0022526                        
3.0                              0.0921851                        0.0043176                        0.0056824                        0.022305                         0.0043162                        
4.0                              0.1438828                        0.006057                         0.0086536                        0.037948                         0.0058868                        
5.0                              0.1987828                        0.0074456                        0.011365                         0.053687                         0.0072482                        
6.0                              0.2582582                        0.0086416                        0.0138694                        0.070464                         0.0083992                        
7.0                              0.3179922                        0.0097408                        0.016527                         0.0902111                        0.0095598                        
8.0                              0.3755792                        0.0106346                        0.0196528                        0.1086206                        0.0104826                        
9.0                              0.4291092                        0.0115482                        0.0229118                        0.1275416                        0.0114164                        
10.0                             0.4774552                        0.012444                         0.0261496                        0.146999                         0.0123278                        
11.0                             0.5208534                        0.0139364                        0.025091                         0.1700241                        0.0147118                        
12.0                             0.5588902                        0.0157914                        0.027568                         0.189428                         0.01737                          
13.0                             0.5921682                        0.0175474                        0.0301928                        0.2098392                        0.020431                         
14.0                             0.621143                         0.0193224                        0.0290159                        0.2276926                        0.023531                         
15.0                             0.6463576                        0.0213796                        0.0317063                        0.244853                         0.027003                         
16.0                             0.6684436                        0.0233452                        0.0353429                        0.2614032                        0.030897                         
17.0                             0.6879358                        0.0213741                        0.0401502                        0.2778042                        0.035015                         
18.0                             0.70527                          0.0231072                        0.0453566                        0.2936336                        0.039494                         
19.0                             0.7207706                        0.0231784                        0.0510146                        0.3090876                        0.0448457                        
20.0                             0.734731                         0.0250333                        0.0569296                        0.3247024                        0.0505785                        
21.0                             0.7473544                        0.0272422                        0.0635556                        0.3398542                        0.0561635                        
22.0                             0.7588328                        0.0281066                        0.070414                         0.3545416                        0.0626752                        
23.0                             0.7693182                        0.0307154                        0.0778514                        0.3688674                        0.068963                         
24.0                             0.7789226                        0.0340928                        0.085323                         0.3826662                        0.0759926                        
25.0                             0.7877568                        0.0378346                        0.0938088                        0.3960474                        0.0853696                        
26.0                             0.7959222                        0.0419668                        0.1020386                        0.4086534                        0.0929344                        
27.0                             0.80348                          0.0462792                        0.1107318                        0.420807                         0.1008396                        
28.0                             0.8104908                        0.0509304                        0.1197536                        0.4324902                        0.1087844                        
29.0                             0.817025                         0.0560056                        0.1286738                        0.4437424                        0.1170222                        
30.0                             0.823114                         0.0612946                        0.1373534                        0.4543218                        0.1251752                        
